movie_id,title,genre,release_year,rating,duration_minutes,description,inventory_count,created_at
63,"Crying Out Love in the Center of the World (Sekai no chûshin de, ai o sakebu)",Drama|Romance,1965,R,153,Virtual zero tolerance success,13,11/05/2024
64,Long Hello and Short Goodbye,Comedy|Thriller,1967,PG-13,129,Visionary hybrid firmware,18,05/20/2022
65,Ninja Cheerleaders,Action|Comedy,1967,G,109,Quality-focused 6th generation approach,20,01/27/2025
66,"Challenger Disaster, The",Drama,1959,G,84,Vision-oriented mobile framework,3,07/30/2023
67,Holiday Wishes,Children|Comedy|Drama,1997,PG-13,124,Balanced eco-centric Graphical User Interface,36,07/06/2020
68,Savannah Smiles,Comedy,1989,R,117,Up-sized solution-oriented open system,37,08/04/2021
69,Zatoichi's Pilgrimage (Zatôichi umi o wataru) (Zatôichi 14),Action|Drama,1977,R,70,Multi-layered 24 hour pricing structure,40,12/30/2024
70,"In Crowd, The",Thriller,1963,R,161,Extended radical concept,14,05/09/2024
71,Adventure in Baltimore,Comedy|Drama,1959,NC-17,82,Self-enabling didactic frame,43,05/06/2020
72,Bilitis,Drama|Romance,2022,PG-13,132,Diverse secondary architecture,46,01/20/2021
73,Piranha 3DD (a.k.a. Piranha DD),Comedy|Horror,1975,PG-13,146,Function-based attitude-oriented product,31,03/06/2024
74,Revenge of the Zombies,Horror,1958,NC-17,147,Assimilated demand-driven firmware,14,08/18/2022
75,Secrets,Western,2018,G,96,Total didactic standardization,18,04/28/2025
76,"Majestic, The",Comedy|Drama|Romance,2015,R,122,Decentralized motivating algorithm,26,07/12/2023
77,1969,Drama|War,1979,PG,85,Automated radical Graphic Interface,6,09/28/2020
78,"Tale of Zatoichi, The (Zatôichi monogatari) (Zatôichi 1)",Drama,2021,R,118,Horizontal holistic task-force,8,07/06/2020
79,Formosa Betrayed,Thriller,1967,G,107,Customizable composite website,38,07/16/2022
80,Patton Oswalt: No Reason to Complain,Comedy,1969,NC-17,100,Diverse radical system engine,30,09/11/2022
81,Blackbeard's Ghost,Children|Comedy,1990,R,175,Compatible multimedia monitoring,31,03/17/2024
82,Girls About Town,Comedy,1956,G,180,Virtual bandwidth-monitored software,1,12/09/2020
83,Great World of Sound,Comedy,1960,PG-13,132,Function-based stable contingency,3,12/22/2024
84,Bury My Heart at Wounded Knee,Drama|Western,2009,R,102,Optimized client-driven concept,40,09/30/2020
85,"To Wong Foo, Thanks for Everything! Julie Newmar",Comedy,1973,PG,146,Reverse-engineered demand-driven concept,9,01/01/2024
86,The Bride Wore Red,Comedy|Drama|Romance,1983,NC-17,121,Multi-lateral encompassing extranet,22,01/10/2020
87,Love Hina Spring Special,Animation|Comedy|Musical|Romance,1990,G,80,Re-contextualized composite frame,30,10/30/2024
88,Manolito Four Eyes,Comedy,2015,PG,133,Enhanced local groupware,8,01/08/2022
89,"Last of the High Kings, The (a.k.a. Summer Fling)",Comedy|Drama,1956,G,143,Customer-focused content-based focus group,25,03/09/2022
90,In the Beginning (À l'Origine),Drama,1987,R,164,Multi-layered zero tolerance structure,4,03/03/2023
91,Things Change,Comedy,1981,NC-17,139,Stand-alone interactive utilisation,32,03/08/2020
92,Rebecca,Drama|Mystery|Romance|Thriller,1999,NC-17,116,Down-sized well-modulated portal,1,09/20/2024
93,Jekyll,Crime|Horror|Thriller,1986,NC-17,75,Total 24/7 system engine,3,12/13/2021
94,"Dog Year, A",Comedy|Drama,1969,NC-17,114,Customer-focused tertiary synergy,32,11/12/2021
95,"Bridge at Remagen, The",Action|War,2022,NC-17,126,Horizontal modular instruction set,25,01/28/2023
96,Fill the Void (Lemale et ha'halal),Drama,2024,PG,131,Inverse heuristic infrastructure,33,01/10/2021
97,Jackie Brown,Crime|Drama|Thriller,1955,R,138,Digitized bottom-line groupware,44,02/13/2025
98,Raising Victor Vargas,Comedy|Drama|Romance,2002,PG-13,122,Persistent content-based product,16,11/24/2024
99,Prison,Crime|Drama|Horror|Thriller,2000,NC-17,179,Monitored exuding system engine,5,10/31/2022
100,Dope,Comedy|Drama,2021,PG,154,Triple-buffered 3rd generation workforce,45,12/25/2023
101,"Boeing, Boeing",Comedy,2021,NC-17,175,Diverse non-volatile help-desk,31,11/26/2023
102,"Ace in the Hole (Big Carnival, The)",Drama,2015,PG-13,76,Fully-configurable solution-oriented complexity,27,09/10/2023
103,Christmas Holiday,Drama|Film-Noir,2020,PG-13,120,Diverse disintermediate firmware,20,12/18/2024
104,Grumpier Old Men,Comedy|Romance,2013,PG,143,Ergonomic multi-tasking project,6,04/02/2025
105,A.C.O.D.,Comedy,2013,G,130,Team-oriented intermediate budgetary management,31,10/10/2024
106,Tension,Crime|Drama|Film-Noir|Romance,1968,PG,139,Synergized national core,37,08/15/2020
107,Ocean Heaven ,Drama,2000,G,115,Visionary multi-tasking service-desk,25,10/19/2021
108,Air Raid Wardens,Children|Comedy,1967,PG-13,84,Re-engineered needs-based website,21,07/29/2022
109,Tangerines,Drama,2024,PG,91,Public-key transitional capability,1,12/17/2024
110,"Bad Seed, The",Drama|Thriller,2022,R,107,Extended bandwidth-monitored neural-net,9,01/23/2022
111,"Third Miracle, The",Drama,1979,PG-13,166,Business-focused executive product,27,01/26/2021
112,Young Again,Fantasy,1968,PG-13,143,Triple-buffered upward-trending moratorium,34,10/23/2022
113,"Runaways, The",Drama|Musical,2000,PG,133,Decentralized executive solution,3,05/22/2021
114,127 Hours,Adventure|Drama|Thriller,2006,PG-13,168,Robust bi-directional adapter,48,01/18/2024
115,Les Invisibles,Documentary,1982,PG,141,Cloned transitional software,16,12/28/2024
116,Saturday Night and Sunday Morning,Drama,1997,R,165,Cloned homogeneous process improvement,18,08/31/2021
117,Shanghai Dreams (Qing hong),Drama,1956,G,99,Self-enabling dedicated productivity,42,03/25/2025
118,Prisoner of Paradise,Documentary,1978,PG-13,102,Operative dynamic conglomeration,49,09/16/2023
119,"Softening of the Egg, The (Ägget är löst!)",Comedy|Drama,2012,G,146,De-engineered full-range matrix,4,03/18/2023
120,No Man of Her Own ,Drama|Film-Noir,2025,PG-13,109,Optional intermediate attitude,16,10/31/2023
121,Doppelganger,Horror|Thriller,2021,R,145,Cross-platform holistic project,29,06/03/2024
122,And Now... Ladies and Gentlemen...,Romance|Thriller,1968,G,75,Distributed dynamic complexity,15,02/26/2023
123,Richard Pryor Live on the Sunset Strip,Comedy|Documentary,2011,R,109,Reduced actuating open architecture,18,06/01/2021
124,Redemption: For Robbing the Dead,Western,2021,R,116,Visionary bottom-line initiative,49,02/07/2020
125,Tarantella,Drama,2025,G,143,Customizable contextually-based Graphical User Interface,13,03/27/2024
126,Messiah of Evil,Horror,1976,PG,76,Sharable asynchronous time-frame,16,08/29/2021
127,"Power of Nightmares, The: The Rise of the Politics of Fear",Documentary,2021,R,124,Focused asynchronous protocol,8,09/21/2020
128,Thirteen Days,Drama|Thriller|War,1998,PG,141,Synchronised intangible software,24,05/11/2022
129,"Combat dans L'Ile, Le (Fire and Ice)",Drama,2006,PG,155,Organized disintermediate array,22,04/28/2025
130,Sherman's March,Documentary,2002,NC-17,160,Multi-channelled non-volatile circuit,16,06/25/2024
131,"Three Stooges Meet Hercules, The",Comedy|Fantasy,1989,NC-17,111,Expanded 24 hour throughput,0,12/13/2024
132,"Misérables, Les",Drama,2004,NC-17,118,Organic even-keeled hierarchy,22,03/14/2025
133,Tevye,Drama,1961,PG-13,107,Cloned global encryption,32,04/12/2022
134,Mrs. Parker and the Vicious Circle,Drama,1953,NC-17,106,Multi-tiered explicit help-desk,29,10/30/2020
135,The Nativity,Children|Drama,1989,R,113,Public-key explicit frame,14,10/08/2022
136,Clockwise,Comedy,1981,NC-17,130,Face to face stable forecast,5,09/15/2020
137,White Heat,Crime|Drama|Film-Noir,1952,R,88,Profit-focused content-based project,4,07/26/2020
138,Necessary Roughness,Comedy,1971,PG-13,159,Object-based client-server benchmark,12,02/04/2023
139,Beauty and the Bastard (Tyttö sinä olet tähti),Drama|Musical|Romance,2000,NC-17,160,Focused background approach,47,03/07/2020
140,BBOY for LIFE,Adventure|Crime|Documentary|Drama,2023,PG-13,105,Focused 4th generation analyzer,41,03/21/2022
141,Everlasting Moments (Maria Larssons eviga ögonblick),Drama,2008,NC-17,110,Polarised optimal help-desk,40,08/13/2023
142,Hunk,Comedy,1986,PG-13,81,Cross-platform fault-tolerant installation,37,03/16/2022
143,Revolutionary Road,Drama|Romance,1983,R,76,Persevering directional matrix,14,08/19/2022
144,Rich and Famous (Gong woo ching),Action|Crime|Drama,2021,PG-13,178,Managed upward-trending core,35,08/03/2020
145,Restless Souls (Bag det stille ydre),Drama|Horror|Mystery,2002,PG-13,98,Organic cohesive conglomeration,25,07/21/2022
146,Shifty,Crime|Thriller,1962,G,175,Extended stable moratorium,39,12/03/2020
147,Jacqueline Susann's Once Is Not Enough,Drama|Romance,1956,NC-17,85,Managed analyzing contingency,30,07/27/2020
148,Forgiven,Drama,2023,PG-13,140,Face to face clear-thinking emulation,30,11/03/2021
149,Magnum Force,Action|Crime|Drama|Thriller,1980,PG-13,145,Ergonomic systematic algorithm,37,09/30/2022
150,Days of Wine and Roses,Drama,2011,R,118,Organic radical structure,36,03/23/2022
151,In Tranzit,Drama|War,1958,R,110,Digitized uniform firmware,33,11/11/2022
152,Corto Maltese: Ballad of the Salt Sea (Corto Maltese - La ballade de la mer salée),Animation,1966,PG-13,97,Extended incremental installation,44,02/12/2021
153,Swept from the Sea,Drama|Romance,1991,PG,82,Focused clear-thinking local area network,48,10/29/2020
154,Remorques (Stormy Waters),Action|Drama|Romance,2008,G,160,Robust upward-trending approach,29,01/16/2022
155,10.5,Action|Drama,1961,PG,84,Object-based fault-tolerant hub,2,04/25/2023
156,"Dunwich Horror, The",Horror,1969,PG-13,171,Ameliorated empowering ability,33,02/13/2020
157,"Last Run, The",Comedy|Drama,2020,PG-13,111,Polarised 4th generation emulation,13,08/25/2024
158,Sovereign's Company,Drama,1989,R,104,Seamless hybrid strategy,15,11/07/2020
159,Ed Wood,Comedy|Drama,2005,PG,116,Self-enabling well-modulated benchmark,16,08/13/2022
160,Head On,Drama,1968,NC-17,133,User-centric system-worthy support,35,08/28/2023
161,"Terror Beneath the Sea, The (Kaitei daisensô)",Action|Sci-Fi,1988,G,79,Open-source object-oriented extranet,37,12/17/2020
162,In Eagle Shadow Fist (Ding tian li di) (Fist of Anger),Action|Drama|War,1950,PG-13,145,Synchronised discrete moratorium,12,05/10/2023
163,Payback,Action|Thriller,1988,PG,171,Versatile demand-driven migration,18,12/07/2022
164,Blood and Wine (Blood & Wine),Crime|Drama|Thriller,2013,PG,151,Optional empowering moratorium,28,05/07/2021
165,Notorious,Film-Noir|Romance|Thriller,1952,G,96,Persevering multimedia support,44,02/21/2025
166,"Pilgrim, The",Comedy,1958,R,118,Balanced human-resource firmware,1,03/13/2021
167,Stitches,Comedy|Horror,1994,PG,178,Cross-platform 24/7 solution,44,06/28/2023
168,Hooper,Action|Comedy,1987,R,75,Cloned 24 hour portal,38,06/28/2020
169,Waiting Room (Bekleme odasi),Drama,1983,R,180,Secured even-keeled application,15,04/28/2020
170,Rain or Shine,Comedy|Drama|Romance,2023,NC-17,98,Cross-platform zero administration pricing structure,23,03/09/2020
171,Ticking Clock,Action|Crime|Mystery|Sci-Fi|Thriller,2007,NC-17,77,Re-engineered next generation open architecture,22,11/26/2022
172,Léolo,Comedy|Drama,1984,PG-13,145,Focused web-enabled moderator,48,05/16/2022
173,Leather Jacket Love Story,Drama|Romance,1961,G,174,Devolved actuating standardization,43,06/27/2023
174,Summer Catch,Comedy|Romance,1975,PG,171,Organized methodical knowledge base,1,05/07/2020
175,Samurai Fiction (SF: Episode One),Action|Adventure|Comedy,2017,PG,170,Optional foreground alliance,35,04/25/2022
176,"End of Summer, The (Early Autumn) (Kohayagawa-ke no aki)",Drama,1967,PG-13,166,Adaptive object-oriented intranet,26,07/16/2024
177,"Human Tornado, The",Action|Comedy,1978,PG,124,Universal well-modulated access,13,10/19/2020
178,Drive Thru,Comedy|Horror,1961,PG-13,152,Multi-channelled web-enabled encoding,33,11/09/2024
179,Undercover Man,Crime|Drama|Film-Noir|Romance,1955,PG,111,Synergized next generation budgetary management,3,08/23/2022
180,Street Scene,Drama,1967,PG,134,Right-sized upward-trending Graphical User Interface,2,09/13/2021
181,About Elly (Darbareye Elly),Drama|Mystery,1962,G,141,Innovative 24 hour artificial intelligence,11,01/03/2021
182,Barocco,Crime|Drama|Romance|Thriller,2014,NC-17,88,Exclusive next generation product,16,11/27/2023
183,"Prize Winner of Defiance Ohio, The",Drama,1997,PG-13,145,Fully-configurable multi-state initiative,30,09/18/2020
184,"Freddy's Dead: The Final Nightmare (Nightmare on Elm Street Part 6: Freddy's Dead, A)",Horror,1983,PG,97,Multi-channelled zero defect website,3,11/05/2021
185,The Great Northfield Minnesota Raid,Action|Western,2012,G,85,Synergized discrete internet solution,36,06/23/2021
186,When Love Is Not Enough: The Lois Wilson Story,Drama,1972,R,108,Switchable composite moderator,29,10/22/2021
187,One Missed Call,Horror|Mystery|Thriller,2014,PG-13,111,Focused responsive task-force,26,02/15/2022
188,Confidentially Connie,Children|Comedy,2001,G,112,Business-focused executive model,39,08/21/2024
189,Castle of Blood,Horror,1951,PG,87,Persevering modular website,7,07/15/2023
190,The Last Journey,Crime|Drama,1992,G,90,Innovative 24/7 toolset,48,10/14/2020
191,Blood and Sand (Sangre y Arena),Drama|Romance,2013,PG-13,152,Enterprise-wide bottom-line framework,16,08/04/2023
192,Cimarron,Drama|Western,1988,R,97,Face to face background neural-net,33,08/20/2020
193,Bring It On,Comedy,1977,NC-17,82,Decentralized object-oriented encryption,42,09/03/2020
194,Zoo,Documentary,1957,PG,105,Innovative foreground encryption,16,12/20/2024
195,"Desperadoes, The",Romance|Western,1978,PG-13,136,Configurable coherent task-force,28,08/26/2022
196,Albino Farm,Horror,1997,PG,160,Secured eco-centric data-warehouse,27,03/15/2025
197,Experimenter,Drama,1979,PG,110,Re-engineered leading edge functionalities,15,04/22/2020
198,"Emperor Jones, The",Drama,1963,PG-13,168,Focused grid-enabled open architecture,5,06/21/2020
199,Vive L'Amour (Ai qing wan sui),Drama,2019,R,149,Business-focused high-level benchmark,27,07/20/2021
200,"German Doctor, The (Wakolda)",Drama|Thriller,1987,PG-13,114,Persistent optimal pricing structure,1,01/24/2021
201,Black River (Kuroi kawa),Drama,1968,NC-17,173,Multi-lateral full-range matrices,20,09/03/2021
202,Juno and the Paycock,Drama,2020,R,176,Self-enabling optimal productivity,17,12/13/2024
203,Crossover,Action|Drama,1963,PG,180,Configurable local process improvement,37,12/11/2024
204,...And Justice for All,Drama|Thriller,2008,NC-17,143,Self-enabling value-added open architecture,30,02/11/2023
205,"Story of the Late Chrysanthemums, The (Zangiku monogatari)",Drama,2019,PG,70,Optimized didactic pricing structure,9,05/04/2021
206,Brooklyn's Finest,Crime|Drama|Thriller,1975,PG,73,Customer-focused multi-state capability,28,08/04/2021
207,Joe,Drama,2021,NC-17,143,Balanced national superstructure,7,11/13/2023
208,"Given Word, The (O Pagador de Promessas)",Drama,1988,R,171,Inverse coherent application,24,08/03/2021
209,Unfinished Business,Comedy,1965,G,119,Diverse bifurcated initiative,21,01/05/2023
210,"Making of a Legend: Gone with the Wind, The",Documentary,2012,PG-13,166,Enterprise-wide 24/7 focus group,34,11/23/2021
211,"Bell for Adano, A (John Hersey's A Bell for Adano)",Drama|War,1988,R,75,Multi-tiered actuating Graphic Interface,16,06/11/2023
212,Fährmann Maria,(no genres listed),1991,PG-13,144,Enterprise-wide executive protocol,47,08/20/2021
213,Vengeance Valley,Western,2011,PG,151,Business-focused leading edge product,21,08/11/2022
214,"Aristocrats, The",Comedy|Documentary,2015,R,139,Phased zero defect time-frame,12,05/04/2024
215,"Girl Cut in Two, The (Fille coupée en deux, La)",Drama|Thriller,2012,R,156,Object-based disintermediate toolset,14,07/01/2022
216,"Trojan Women, The",Drama,2015,PG,144,Optional local secured line,24,10/22/2021
217,"Fragile Trust: Plagiarism, Power, and Jayson Blair at the New York Times, A",Documentary,1960,PG,148,Open-source content-based alliance,38,10/24/2022
218,Floundering,Comedy,1979,G,178,Reactive 3rd generation function,12,12/14/2024
219,"Osterman Weekend, The",Action|Thriller,2007,R,141,Profit-focused full-range knowledge user,21,11/11/2021
220,Connections,Documentary,1971,PG,84,Expanded maximized methodology,6,08/22/2023
221,Grand Illusion (La grande illusion),Drama|War,2008,PG,152,Multi-layered 24 hour array,30,03/14/2022
222,ABBA: The Movie,Musical,1981,G,144,Up-sized next generation Graphical User Interface,11,01/21/2021
223,Return of the Living Dead: Necropolis,Comedy|Horror,1981,NC-17,101,Grass-roots multi-state solution,41,04/12/2020
224,Hollidaysburg,Comedy,1977,G,164,Balanced executive neural-net,6,08/10/2020
225,Kolya (Kolja),Comedy|Drama,2005,PG,115,Configurable fresh-thinking knowledge base,48,11/19/2020
226,Meatballs Part II,Comedy,1964,G,92,Enterprise-wide system-worthy contingency,29,06/19/2023
227,Castaway,Adventure|Drama,1959,R,142,Streamlined national utilisation,33,02/25/2022
228,If You Only Knew,Comedy|Romance,2013,G,144,Enterprise-wide neutral open system,48,01/24/2022
229,Eastwood on Eastwood,Documentary,1952,G,174,Ergonomic zero tolerance synergy,28,11/02/2023
230,Nightmaster (Watch the Shadows Dance),Action,1999,NC-17,109,Sharable heuristic model,29,08/30/2021
231,Secret Ballot (Raye makhfi),Comedy,2020,NC-17,174,Future-proofed 5th generation orchestration,3,03/02/2022
232,"Winged Migration (Peuple migrateur, Le)",Documentary,1992,R,130,Up-sized fresh-thinking internet solution,41,04/06/2023
233,Everybody's Woman (La signora di tutti),Drama,1974,G,121,Diverse zero defect leverage,0,03/02/2022
234,Charlie St. Cloud,Drama|Fantasy|Romance,2004,G,168,Versatile radical interface,29,12/18/2023
235,Below,Horror,2010,R,117,Optimized grid-enabled architecture,19,05/02/2021
236,Fathom,Adventure,1955,PG-13,169,Optional encompassing interface,8,07/05/2021
237,Long Weekend,Horror|Mystery|Thriller,2003,PG-13,157,Secured executive support,40,06/19/2022
238,Jimmy's Hall,Drama,2021,NC-17,114,Multi-lateral motivating system engine,27,09/03/2022
239,Kama Sutra: A Tale of Love,Romance,1962,PG-13,121,Vision-oriented optimal standardization,42,06/07/2024
240,"Big Bang Love, Juvenile A (46-okunen no koi)",Drama,2004,R,100,Persevering foreground knowledge user,18,10/05/2024
241,"Goodbye Girl, The",Comedy|Romance,2025,PG,160,Innovative bottom-line time-frame,23,05/03/2020
242,"Quiet Earth, The",Drama|Mystery|Sci-Fi,1968,NC-17,71,Enhanced value-added migration,34,05/10/2023
243,"House on Carroll Street, The",Thriller,1974,PG-13,160,Multi-layered 4th generation alliance,2,03/28/2023
244,"Young One, The",Drama,2017,R,142,Diverse tertiary benchmark,25,10/01/2024
245,Querelle,Drama,1981,NC-17,158,Multi-layered high-level parallelism,33,07/15/2021
246,Caught Up,Crime,2012,PG,98,Optional human-resource hierarchy,35,06/03/2021
247,Inside The X-files,Documentary,1964,NC-17,79,Balanced scalable Graphic Interface,43,01/16/2025
248,Three Days (Tres días),Crime|Drama|Fantasy,1990,R,121,Reactive methodical parallelism,40,10/23/2024
249,Sister Act,Comedy|Crime,1965,NC-17,149,Cross-platform cohesive definition,35,07/08/2022
250,"Man in Grey, The",Drama|Romance,1975,G,162,Triple-buffered composite info-mediaries,8,03/26/2021
251,18 Fingers of Death!,Action|Comedy,1993,PG-13,88,Right-sized global framework,48,05/18/2021
252,Battles Without Honor & Humanity (Jingi naki tatakai),Crime|Drama,1958,NC-17,101,Mandatory intangible system engine,9,09/04/2024
253,Import/Export,Drama,1988,PG,94,Re-contextualized fresh-thinking policy,46,10/20/2021
254,"Burn, Witch, Burn (Night of the Eagle)",Horror,2021,PG,160,Reverse-engineered mobile conglomeration,48,04/01/2022
255,Elevator,Comedy|Drama,1999,G,180,Realigned secondary service-desk,7,09/04/2020
256,Possessed,Drama|Romance,1973,R,76,Universal leading edge capability,1,01/19/2020
257,"Hanging Garden, The",Drama|Romance,1963,PG,146,Switchable eco-centric hierarchy,45,06/09/2023
258,"Next Karate Kid, The",Action|Children|Romance,1994,NC-17,124,Cross-group maximized functionalities,45,02/03/2021
259,"Shop Around the Corner, The",Comedy|Drama|Romance,2023,PG,173,Public-key demand-driven access,18,03/21/2021
260,Corto Maltese: Under the Sign of Capricorn (Sous le signe du capricorne),Animation|Drama|Romance|War,2008,PG,143,Down-sized bifurcated structure,36,09/25/2022
261,"Kid, The",Comedy|Fantasy,2019,G,88,Pre-emptive exuding throughput,40,07/11/2024
262,Reclaim Your Brain (Free Rainer),Comedy|Crime|Drama|Romance,1960,PG,104,Organic intangible core,4,01/22/2024
263,The Vanishing American,Western,2021,PG,76,Re-contextualized scalable workforce,47,01/18/2021
264,"Dark Truth, A (Truth, The)",Drama|Thriller,2006,R,77,Digitized high-level approach,14,09/07/2021
265,Imagine: John Lennon,Documentary,1955,PG,132,Distributed 4th generation help-desk,36,11/26/2023
266,Austenland,Comedy|Romance,1973,PG-13,94,Programmable 6th generation methodology,41,12/11/2021
